region,experiment,year,mean_temp,anomaly
temperate,historical,1929,279.1117858886719,0.11589355468748863
temperate,historical,1930,279.1250915527344,0.12919921874998863
temperate,historical,1931,279.2886047363281,0.29271240234373863
temperate,historical,1932,279.2330322265625,0.23713989257811363
temperate,historical,1933,279.2206115722656,0.22471923828123863
temperate,historical,1934,279.0203857421875,0.02449340820311363
temperate,historical,1935,279.0905456542969,0.09465332031248863
temperate,historical,1936,279.1746826171875,0.17879028320311363
temperate,historical,1937,279.1893615722656,0.19346923828123863
temperate,historical,1938,279.2090148925781,0.21312255859373863
temperate,historical,1939,279.1318054199219,0.13591308593748863
temperate,historical,1940,279.1047058105469,0.10881347656248863
temperate,historical,1941,279.1683654785156,0.17247314453123863
temperate,historical,1942,279.1893615722656,0.19346923828123863
temperate,historical,1943,279.0376892089844,0.04179687499998863
temperate,historical,1944,279.14923095703125,0.15333862304686363
temperate,historical,1945,279.0920104980469,0.09611816406248863
temperate,historical,1946,278.9950256347656,-0.0008666992187613687
temperate,historical,1947,278.7965393066406,-0.19935302734376137
temperate,historical,1948,279.0320129394531,0.03612060546873863
temperate,historical,1949,279.2171630859375,0.22127075195311363
temperate,historical,1950,278.9757385253906,-0.02015380859376137
temperate,historical,1951,279.2030334472656,0.20714111328123863
temperate,historical,1952,279.3453369140625,0.34944458007811363
temperate,historical,1953,279.1209716796875,0.12507934570311363
temperate,historical,1954,279.0977783203125,0.10188598632811363
temperate,historical,1955,279.1700439453125,0.17415161132811363
temperate,historical,1956,278.8165283203125,-0.17936401367188637
temperate,historical,1957,278.7875061035156,-0.20838623046876137
temperate,historical,1958,278.8511047363281,-0.14478759765626137
temperate,historical,1959,278.9521484375,-0.04374389648438637
temperate,historical,1960,279.0276794433594,0.03178710937498863
temperate,historical,1961,279.1139831542969,0.11809082031248863
temperate,historical,1962,279.2881164550781,0.29222412109373863
temperate,historical,1963,279.1007995605469,0.10490722656248863
temperate,historical,1964,279.0268249511719,0.03093261718748863
temperate,historical,1965,278.7027893066406,-0.29310302734376137
temperate,historical,1966,278.783203125,-0.21268920898438637
temperate,historical,1967,278.9749450683594,-0.02094726562501137
temperate,historical,1968,278.8633117675781,-0.13258056640626137
temperate,historical,1969,278.9354248046875,-0.06046752929688637
temperate,historical,1970,278.8861389160156,-0.10975341796876137
